name,Pedestrians,Cyclists,Motorist
00,0.04636,0.02003,0.23300
01,0.04007,0.01483,0.26442
02,0.04072,0.01427,0.28341
03,0.04171,0.01193,0.29964
04,0.04344,0.01043,0.32163
05,0.04183,0.01099,0.27400
06,0.05638,0.01212,0.22086
07,0.05785,0.01595,0.20684
08,0.05111,0.01358,0.17022
09,0.04116,0.01490,0.15031
10,0.03953,0.01379,0.14677
11,0.04185,0.01625,0.15079
12,0.04344,0.01744,0.15611
13,0.04192,0.01902,0.16096
14,0.04536,0.01905,0.16685
15,0.05196,0.01980,0.18603
16,0.04515,0.01964,0.17322
17,0.05595,0.02292,0.17458
18,0.06608,0.02699,0.17947
19,0.06813,0.03080,0.18678
20,0.07089,0.03301,0.20543
21,0.06758,0.03224,0.22247
22,0.05666,0.02727,0.24798
23,0.05169,0.02372,0.27202
