name,Pedestrians,Cyclists,Motorist
00,0.00084,0.00014,0.00077
01,0.00101,0.00009,0.00171
02,0.00139,0.00006,0.00214
03,0.00167,0.00020,0.00293
04,0.00194,0.00011,0.00353
05,0.00176,0.00021,0.00161
06,0.00149,0.00026,0.00075
07,0.00054,0.00019,0.00028
08,0.00030,0.00010,0.00010
09,0.00036,0.00009,0.00018
10,0.00052,0.00001,0.00025
11,0.00048,0.00003,0.00026
12,0.00041,0.00004,0.00033
13,0.00036,0.00003,0.00022
14,0.00038,0.00005,0.00017
15,0.00042,0.00002,0.00022
16,0.00035,0.00005,0.00029
17,0.00064,0.00010,0.00022
18,0.00065,0.00006,0.00031
19,0.00066,0.00007,0.00041
20,0.00095,0.00005,0.00042
21,0.00112,0.00014,0.00054
22,0.00090,0.00009,0.00080
23,0.00119,0.00024,0.00084
